date,district,magnitude,depth_km,seismic_activity,earthquake
2024-12-03,Salem,6.9,34,9,0
2024-12-06,Salem,5.4,212,46,0
2024-12-09,Salem,4.6,86,3,0
2024-12-12,Salem,2.7,229,4,0
2024-12-15,Salem,2.6,125,99,0
2024-12-18,Salem,5.2,190,49,0
2024-12-21,Salem,6.7,21,77,1
2024-12-24,Salem,2.8,235,47,0
2024-12-27,Salem,3.9,44,73,0
2024-12-30,Salem,2.7,192,50,0
2024-01-01,Erode,3.6,147,31,0
2024-01-04,Erode,6.8,18,94,1
2024-01-07,Erode,2.9,270,49,0
2024-01-10,Erode,6.6,65,33,0
2024-01-13,Erode,5.9,233,27,0
2024-01-16,Erode,7.0,151,88,1
2024-01-19,Erode,6.6,256,25,0
2024-01-22,Erode,2.6,42,57,0
2024-01-25,Erode,2.9,232,11,0
2024-01-28,Erode,6.1,168,85,1
2024-01-31,Erode,3.7,38,70,0
2024-02-03,Erode,4.7,158,20,0
2024-02-06,Erode,5.6,94,46,0
2024-02-09,Erode,4.5,67,25,0
2024-02-12,Erode,6.0,126,63,1
2024-02-15,Erode,2.1,288,73,0
2024-02-18,Erode,3.8,287,16,0
2024-02-21,Erode,5.1,49,8,0
2024-02-24,Erode,3.5,250,67,0
2024-02-27,Erode,4.1,214,73,0
2024-03-02,Erode,2.4,167,82,0
2024-03-05,Erode,2.4,243,87,0
2024-03-08,Erode,4.6,70,99,0
2024-03-11,Erode,4.8,98,98,0
2024-03-14,Erode,6.8,226,64,1
2024-03-17,Erode,6.6,33,15,0
2024-03-20,Erode,4.6,160,21,0
2024-03-23,Erode,2.8,120,44,0
2024-03-26,Erode,6.7,270,36,0
2024-03-29,Erode,6.2,133,25,0
2024-04-01,Erode,5.2,287,35,0
2024-04-04,Erode,2.6,160,78,0
2024-04-07,Erode,4.7,262,82,0
2024-04-10,Erode,2.8,83,21,0
2024-04-13,Erode,5.3,177,72,1
2024-04-16,Erode,2.2,19,10,0
2024-04-19,Erode,2.2,300,33,0
2024-04-22,Erode,5.3,297,53,0
2024-04-25,Erode,5.1,20,63,1
2024-04-28,Erode,6.4,284,37,0
2024-05-01,Erode,5.2,159,61,1
2024-05-04,Erode,3.2,212,38,0
2024-05-07,Erode,4.3,35,20,0
2024-05-10,Erode,4.2,252,59,0
2024-05-13,Erode,3.0,78,40,0
2024-05-16,Erode,6.3,168,93,1
2024-05-19,Erode,6.9,181,51,0
2024-05-22,Erode,2.7,194,65,0
2024-05-25,Erode,4.8,168,30,0
2024-05-28,Erode,4.3,141,57,0
2024-05-31,Erode,3.2,54,6,0
2024-06-03,Erode,3.5,201,78,0
2024-06-06,Erode,4.1,86,41,0
2024-06-09,Erode,6.7,165,24,0
2024-06-12,Erode,5.8,260,65,1
2024-06-15,Erode,4.3,162,63,0
2024-06-18,Erode,2.1,206,64,0
2024-06-21,Erode,4.3,128,27,0
2024-06-24,Erode,4.9,29,6,0
2024-06-27,Erode,3.4,245,36,0
2024-06-30,Erode,4.7,60,55,0
2024-07-03,Erode,2.7,140,93,0
2024-07-06,Erode,3.8,211,46,0
2024-07-09,Erode,2.2,31,72,0
2024-07-12,Erode,4.8,190,70,0
2024-07-15,Erode,3.4,202,64,0
2024-07-18,Erode,4.3,286,35,0
2024-07-21,Erode,6.1,65,16,0
2024-07-24,Erode,6.9,206,47,0
2024-07-27,Erode,6.0,178,71,1
2024-07-30,Erode,6.7,78,25,0
2024-08-02,Erode,5.0,210,64,1
2024-08-05,Erode,2.2,24,17,0
2024-08-08,Erode,5.6,247,66,1
2024-08-11,Erode,4.3,268,17,0
2024-08-14,Erode,3.6,168,20,0
2024-08-17,Erode,4.0,158,75,0
2024-08-20,Erode,3.7,265,68,0
2024-08-23,Erode,4.4,293,38,0
2024-08-26,Erode,4.4,13,47,0
2024-08-29,Erode,3.7,61,53,0
2024-09-01,Erode,4.9,18,76,0
2024-09-04,Erode,4.4,300,29,0
2024-09-07,Erode,5.6,250,21,0
2024-09-10,Erode,4.6,199,18,0
2024-09-13,Erode,6.1,129,4,0
2024-09-16,Erode,4.9,61,24,0
2024-09-19,Erode,2.1,165,53,0
2024-09-22,Erode,2.8,109,52,0
2024-09-25,Erode,4.5,246,94,0
2024-09-28,Erode,5.6,75,66,1
2024-10-01,Erode,3.0,171,84,0
2024-10-04,Erode,4.4,197,40,0
2024-10-07,Erode,6.8,240,68,1
2024-10-10,Erode,3.7,186,86,0
2024-10-13,Erode,5.9,140,78,1
2024-10-16,Erode,4.4,131,35,0
2024-10-19,Erode,4.8,120,38,0
2024-10-22,Erode,5.9,111,88,1
2024-10-25,Erode,5.5,167,61,1
2024-10-28,Erode,3.7,145,36,0
2024-10-31,Erode,2.6,283,48,0
2024-11-03,Erode,6.5,207,44,0
2024-11-06,Erode,6.8,79,37,0
2024-11-09,Erode,2.2,45,44,0
2024-11-12,Erode,6.6,136,95,1
2024-11-15,Erode,4.4,108,68,0
2024-11-18,Erode,3.4,292,89,0
2024-11-21,Erode,3.4,60,78,0
2024-11-24,Erode,5.7,127,31,0
2024-11-27,Erode,2.3,276,28,0
2024-11-30,Erode,5.2,31,12,0
2024-12-03,Erode,4.1,246,12,0
2024-12-06,Erode,5.4,75,0,0
2024-12-09,Erode,6.8,85,52,0
2024-12-12,Erode,5.3,248,61,1
2024-12-15,Erode,5.3,152,41,0
2024-12-18,Erode,3.4,35,98,0
2024-12-21,Erode,2.4,298,29,0
2024-12-24,Erode,4.7,24,22,0
2024-12-27,Erode,4.1,95,4,0
2024-12-30,Erode,7.0,208,100,1
2024-01-01,Tirunelveli,4.5,153,4,0
2024-01-04,Tirunelveli,2.0,295,77,0
2024-01-07,Tirunelveli,2.5,176,36,0
2024-01-10,Tirunelveli,4.3,283,67,0
2024-01-13,Tirunelveli,4.5,73,64,0
2024-01-16,Tirunelveli,4.3,103,14,0
2024-01-19,Tirunelveli,3.7,239,82,0
2024-01-22,Tirunelveli,3.3,100,1,0
2024-01-25,Tirunelveli,5.7,156,72,1
2024-01-28,Tirunelveli,5.4,103,22,0
2024-01-31,Tirunelveli,5.1,212,54,0
2024-02-03,Tirunelveli,4.6,49,51,0
2024-02-06,Tirunelveli,5.3,99,17,0
2024-02-09,Tirunelveli,4.4,132,0,0
2024-02-12,Tirunelveli,3.3,125,57,0
2024-02-15,Tirunelveli,5.8,173,38,0
2024-02-18,Tirunelveli,4.9,298,1,0
2024-02-21,Tirunelveli,3.3,189,88,0
2024-02-24,Tirunelveli,3.2,65,59,0
2024-02-27,Tirunelveli,3.5,212,87,0
2024-03-02,Tirunelveli,4.5,164,88,0
2024-03-05,Tirunelveli,2.6,156,47,0
2024-03-08,Tirunelveli,5.1,117,17,0
2024-03-11,Tirunelveli,4.4,237,95,0
2024-03-14,Tirunelveli,6.9,196,53,0
2024-03-17,Tirunelveli,5.5,246,96,1
2024-03-20,Tirunelveli,4.7,116,97,0
2024-03-23,Tirunelveli,3.2,46,67,0
2024-03-26,Tirunelveli,4.2,190,9,0
2024-03-29,Tirunelveli,6.6,62,7,0
2024-04-01,Tirunelveli,6.1,263,25,0
2024-04-04,Tirunelveli,4.9,81,21,0
2024-04-07,Tirunelveli,3.6,271,56,0
2024-04-10,Tirunelveli,2.6,110,91,0
2024-04-13,Tirunelveli,4.9,51,65,0
2024-04-16,Tirunelveli,4.2,33,58,0
2024-04-19,Tirunelveli,2.7,217,58,0
2024-04-22,Tirunelveli,4.8,291,59,0
2024-04-25,Tirunelveli,5.4,162,92,1
2024-04-28,Tirunelveli,2.1,135,0,0
2024-05-01,Tirunelveli,5.7,42,5,0
2024-05-04,Tirunelveli,4.1,37,69,0
2024-05-07,Tirunelveli,7.0,40,60,1
2024-05-10,Tirunelveli,2.2,214,23,0
2024-05-13,Tirunelveli,5.8,220,47,0
2024-05-16,Tirunelveli,7.0,200,57,0
2024-05-19,Tirunelveli,6.3,198,48,0
2024-05-22,Tirunelveli,2.4,281,17,0
2024-05-25,Tirunelveli,5.3,183,15,0
2024-05-28,Tirunelveli,2.9,280,50,0
2024-05-31,Tirunelveli,4.6,119,0,0
2024-06-03,Tirunelveli,5.8,157,59,0
2024-06-06,Tirunelveli,5.4,283,54,0
2024-06-09,Tirunelveli,4.7,122,31,0
2024-06-12,Tirunelveli,4.3,84,35,0
2024-06-15,Tirunelveli,2.9,62,4,0
2024-06-18,Tirunelveli,6.0,219,78,1
2024-06-21,Tirunelveli,5.8,13,30,0
2024-06-24,Tirunelveli,3.0,56,76,0
2024-06-27,Tirunelveli,2.2,29,31,0
2024-06-30,Tirunelveli,5.7,210,56,0
2024-07-03,Tirunelveli,3.2,116,96,0
2024-07-06,Tirunelveli,6.3,33,17,0
2024-07-09,Tirunelveli,4.5,153,29,0
2024-07-12,Tirunelveli,6.1,299,40,0
2024-07-15,Tirunelveli,4.9,169,30,0
2024-07-18,Tirunelveli,3.5,78,84,0
2024-07-21,Tirunelveli,4.6,216,38,0
2024-07-24,Tirunelveli,3.4,290,75,0
2024-07-27,Tirunelveli,6.4,94,80,1
2024-07-30,Tirunelveli,5.4,289,63,1
2024-08-02,Tirunelveli,2.2,181,82,0
2024-08-05,Tirunelveli,5.4,273,40,0
2024-08-08,Tirunelveli,5.5,214,19,0
2024-08-11,Tirunelveli,3.5,99,96,0
2024-08-14,Tirunelveli,4.7,128,28,0
2024-08-17,Tirunelveli,3.5,78,59,0
2024-08-20,Tirunelveli,6.6,292,52,0
2024-08-23,Tirunelveli,6.8,290,67,1
2024-08-26,Tirunelveli,2.7,129,32,0
2024-08-29,Tirunelveli,3.0,45,57,0
2024-09-01,Tirunelveli,6.2,52,68,1
2024-09-04,Tirunelveli,5.6,102,6,0
2024-09-07,Tirunelveli,3.3,25,9,0
2024-09-10,Tirunelveli,2.9,291,27,0
2024-09-13,Tirunelveli,4.4,175,38,0
2024-09-16,Tirunelveli,6.8,12,27,0
2024-09-19,Tirunelveli,6.7,65,95,1
2024-09-22,Tirunelveli,7.0,250,31,0
2024-09-25,Tirunelveli,5.5,109,50,0
2024-09-28,Tirunelveli,6.6,287,41,0
2024-10-01,Tirunelveli,5.9,199,59,0
2024-10-04,Tirunelveli,4.7,188,39,0
2024-10-07,Tirunelveli,3.3,267,63,0
2024-10-10,Tirunelveli,4.3,245,97,0
2024-10-13,Tirunelveli,6.2,109,47,0
2024-10-16,Tirunelveli,3.6,28,72,0
2024-10-19,Tirunelveli,6.3,79,2,0
2024-10-22,Tirunelveli,3.3,218,37,0
2024-10-25,Tirunelveli,2.8,173,29,0
2024-10-28,Tirunelveli,3.9,130,63,0
2024-10-31,Tirunelveli,4.8,177,32,0
2024-11-03,Tirunelveli,5.8,255,92,1
2024-11-06,Tirunelveli,5.2,256,58,0
2024-11-09,Tirunelveli,2.8,185,21,0
2024-11-12,Tirunelveli,2.7,284,62,0
2024-11-15,Tirunelveli,2.9,282,82,0
2024-11-18,Tirunelveli,6.8,273,4,0
2024-11-21,Tirunelveli,6.2,43,85,1
2024-11-24,Tirunelveli,2.2,8,52,0
2024-11-27,Tirunelveli,2.7,123,8,0
2024-11-30,Tirunelveli,5.5,9,27,0
2024-12-03,Tirunelveli,4.5,196,7,0
2024-12-06,Tirunelveli,5.1,252,84,1
2024-12-09,Tirunelveli,4.4,8,68,0
2024-12-12,Tirunelveli,4.8,11,2,0
2024-12-15,Tirunelveli,4.6,145,68,0
2024-12-18,Tirunelveli,6.9,13,64,1
2024-12-21,Tirunelveli,6.1,225,22,0
2024-12-24,Tirunelveli,2.5,54,67,0
2024-12-27,Tirunelveli,2.7,103,79,0
2024-12-30,Tirunelveli,4.6,186,34,0
2024-01-01,Vellore,6.0,45,47,0
2024-01-04,Vellore,6.8,240,72,1
2024-01-07,Vellore,3.2,120,38,0
2024-01-10,Vellore,5.4,46,83,1
2024-01-13,Vellore,7.0,21,11,0
2024-01-16,Vellore,4.0,198,70,0
2024-01-19,Vellore,4.4,9,89,0
2024-01-22,Vellore,2.9,260,55,0
2024-01-25,Vellore,5.2,174,72,1
2024-01-28,Vellore,6.9,53,67,1
2024-01-31,Vellore,6.6,122,27,0
2024-02-03,Vellore,6.5,295,60,1
2024-02-06,Vellore,3.4,43,87,0
2024-02-09,Vellore,6.6,283,72,1
2024-02-12,Vellore,5.3,96,40,0
2024-02-15,Vellore,2.1,111,75,0
2024-02-18,Vellore,2.7,208,9,0
2024-02-21,Vellore,3.5,293,30,0
2024-02-24,Vellore,4.8,204,86,0
2024-02-27,Vellore,6.5,174,49,0
2024-03-02,Vellore,5.8,76,88,1
2024-03-05,Vellore,5.6,261,95,1
2024-03-08,Vellore,6.9,32,12,0
2024-03-11,Vellore,4.2,43,43,0
2024-03-14,Vellore,5.0,208,99,1
2024-03-17,Vellore,3.6,144,100,0
2024-03-20,Vellore,7.0,256,29,0
2024-03-23,Vellore,3.8,197,55,0
2024-03-26,Vellore,2.9,199,10,0
2024-03-29,Vellore,5.9,156,31,0
2024-04-01,Vellore,5.6,47,34,0
2024-04-04,Vellore,2.8,83,94,0
2024-04-07,Vellore,3.9,189,13,0
2024-04-10,Vellore,2.5,162,56,0
2024-04-13,Vellore,3.8,143,13,0
2024-04-16,Vellore,2.7,100,55,0
2024-04-19,Vellore,4.2,289,65,0
2024-04-22,Vellore,4.0,18,11,0
2024-04-25,Vellore,3.8,52,76,0
2024-04-28,Vellore,5.0,171,49,0
2024-05-01,Vellore,2.1,216,49,0
2024-05-04,Vellore,5.9,291,31,0
2024-05-07,Vellore,4.9,91,87,0
2024-05-10,Vellore,3.9,76,34,0
2024-05-13,Vellore,3.5,257,18,0
2024-05-16,Vellore,2.3,227,35,0
2024-05-19,Vellore,4.1,252,100,0
2024-05-22,Vellore,2.4,133,31,0
2024-05-25,Vellore,5.6,258,76,1
2024-05-28,Vellore,5.1,239,13,0
2024-05-31,Vellore,2.7,8,50,0
2024-06-03,Vellore,3.7,199,42,0
2024-06-06,Vellore,4.2,225,83,0
2024-06-09,Vellore,6.9,74,38,0
2024-06-12,Vellore,3.6,107,61,0
2024-06-15,Vellore,3.6,208,40,0
2024-06-18,Vellore,3.5,256,73,0
2024-06-21,Vellore,5.9,171,48,0
2024-06-24,Vellore,3.4,206,46,0
2024-06-27,Vellore,2.6,293,25,0
2024-06-30,Vellore,5.0,284,23,0
2024-07-03,Vellore,5.4,286,3,0
2024-07-06,Vellore,6.8,241,90,1
2024-07-09,Vellore,3.0,154,88,0
2024-07-12,Vellore,2.3,214,86,0
2024-07-15,Vellore,4.5,160,30,0
2024-07-18,Vellore,3.3,83,91,0
2024-07-21,Vellore,4.1,198,9,0
2024-07-24,Vellore,4.2,250,74,0
2024-07-27,Vellore,4.0,264,88,0
2024-07-30,Vellore,4.1,23,46,0
2024-08-02,Vellore,5.5,279,76,1
2024-08-05,Vellore,5.2,48,13,0
2024-08-08,Vellore,5.8,186,21,0
2024-08-11,Vellore,5.2,27,72,1
2024-08-14,Vellore,6.9,209,96,1
2024-08-17,Vellore,3.7,225,13,0
2024-08-20,Vellore,2.1,137,28,0
2024-08-23,Vellore,4.6,270,71,0
2024-08-26,Vellore,4.9,299,28,0
2024-08-29,Vellore,4.2,205,59,0
2024-09-01,Vellore,5.9,261,19,0
2024-09-04,Vellore,3.7,17,61,0
2024-09-07,Vellore,2.5,217,10,0
2024-09-10,Vellore,2.6,77,44,0
2024-09-13,Vellore,3.6,238,100,0
2024-09-16,Vellore,3.0,252,44,0
2024-09-19,Vellore,4.4,229,92,0
2024-09-22,Vellore,5.5,168,8,0
2024-09-25,Vellore,3.5,63,2,0
2024-09-28,Vellore,6.2,60,86,1
2024-10-01,Vellore,6.0,129,66,1
2024-10-04,Vellore,2.9,86,42,0
2024-10-07,Vellore,4.8,241,29,0
2024-10-10,Vellore,6.0,99,23,0
2024-10-13,Vellore,5.2,226,50,0
2024-10-16,Vellore,2.1,106,57,0
2024-10-19,Vellore,5.0,204,0,0
2024-10-22,Vellore,5.5,110,35,0
2024-10-25,Vellore,5.8,37,73,1
2024-10-28,Vellore,2.5,279,23,0
2024-10-31,Vellore,3.8,105,58,0
2024-11-03,Vellore,2.6,255,67,0
2024-11-06,Vellore,6.8,165,76,1
2024-11-09,Vellore,3.9,205,75,0
2024-11-12,Vellore,2.6,185,58,0
2024-11-15,Vellore,5.1,157,78,1
2024-11-18,Vellore,5.0,73,40,0
2024-11-21,Vellore,2.6,161,14,0
2024-11-24,Vellore,2.9,77,65,0
2024-11-27,Vellore,3.9,75,73,0
2024-11-30,Vellore,3.9,100,62,0
2024-12-03,Vellore,5.2,93,71,1
2024-12-06,Vellore,2.8,152,17,0
2024-12-09,Vellore,2.9,235,79,0
2024-12-12,Vellore,2.3,188,1,0
2024-12-15,Vellore,4.4,104,49,0
2024-12-18,Vellore,6.8,263,83,1
2024-12-21,Vellore,4.5,256,53,0
2024-12-24,Vellore,5.6,232,62,1
2024-12-27,Vellore,2.8,294,3,0
2024-12-30,Vellore,6.0,117,37,0
2024-01-01,Thanjavur,2.2,120,68,0
2024-01-04,Thanjavur,3.4,239,72,0
2024-01-07,Thanjavur,5.7,258,70,1
2024-01-10,Thanjavur,4.6,298,14,0
2024-01-13,Thanjavur,3.3,283,46,0
2024-01-16,Thanjavur,4.7,26,97,0
2024-01-19,Thanjavur,5.6,284,27,0
2024-01-22,Thanjavur,6.9,57,94,1
2024-01-25,Thanjavur,6.2,131,38,0
2024-01-28,Thanjavur,6.4,21,57,0
2024-01-31,Thanjavur,3.3,49,56,0
2024-02-03,Thanjavur,6.3,65,99,1
2024-02-06,Thanjavur,6.1,112,94,1
2024-02-09,Thanjavur,4.9,184,90,0
2024-02-12,Thanjavur,5.1,224,21,0
2024-02-15,Thanjavur,5.1,110,26,0
2024-02-18,Thanjavur,6.0,296,44,0
2024-02-21,Thanjavur,4.7,280,21,0
2024-02-24,Thanjavur,3.6,154,37,0
2024-02-27,Thanjavur,4.9,268,86,0
2024-03-02,Thanjavur,6.1,74,96,1
2024-03-05,Thanjavur,5.9,35,35,0
2024-03-08,Thanjavur,6.3,69,89,1
2024-03-11,Thanjavur,6.3,132,18,0
2024-03-14,Thanjavur,5.6,131,97,1
2024-03-17,Thanjavur,6.2,206,62,1
2024-03-20,Thanjavur,2.7,142,80,0
2024-03-23,Thanjavur,4.1,236,9,0
2024-03-26,Thanjavur,5.2,52,51,0
2024-03-29,Thanjavur,4.6,147,88,0
2024-04-01,Thanjavur,6.7,193,58,0
2024-04-04,Thanjavur,6.8,172,74,1
2024-04-07,Thanjavur,2.0,52,93,0
2024-04-10,Thanjavur,6.9,188,8,0
2024-04-13,Thanjavur,6.0,208,27,0
2024-04-16,Thanjavur,6.8,113,63,1
2024-04-19,Thanjavur,3.3,150,43,0
2024-04-22,Thanjavur,4.7,71,72,0
2024-04-25,Thanjavur,6.3,180,87,1
2024-04-28,Thanjavur,5.8,28,12,0
2024-05-01,Thanjavur,5.1,240,2,0
2024-05-04,Thanjavur,2.6,85,56,0
2024-05-07,Thanjavur,4.3,224,25,0
2024-05-10,Thanjavur,7.0,72,83,1
2024-05-13,Thanjavur,3.5,145,11,0
2024-05-16,Thanjavur,5.3,133,10,0
2024-05-19,Thanjavur,3.9,89,6,0
2024-05-22,Thanjavur,4.0,161,92,0
2024-05-25,Thanjavur,5.5,124,54,0
2024-05-28,Thanjavur,5.3,53,0,0
2024-05-31,Thanjavur,3.1,44,16,0
2024-06-03,Thanjavur,5.0,270,87,1
2024-06-06,Thanjavur,4.2,9,89,0
2024-06-09,Thanjavur,3.7,66,54,0
2024-06-12,Thanjavur,5.5,249,9,0
2024-06-15,Thanjavur,3.1,50,93,0
2024-06-18,Thanjavur,6.0,57,40,0
2024-06-21,Thanjavur,3.8,158,17,0
2024-06-24,Thanjavur,3.9,73,82,0
2024-06-27,Thanjavur,7.0,78,8,0
2024-06-30,Thanjavur,4.7,9,78,0
2024-07-03,Thanjavur,5.3,230,44,0
2024-07-06,Thanjavur,5.6,82,52,0
2024-07-09,Thanjavur,5.1,231,27,0
2024-07-12,Thanjavur,2.4,56,17,0
2024-07-15,Thanjavur,5.8,201,44,0
2024-07-18,Thanjavur,6.8,166,17,0
2024-07-21,Thanjavur,3.2,48,31,0
2024-07-24,Thanjavur,4.8,150,99,0
2024-07-27,Thanjavur,6.7,18,84,1
2024-07-30,Thanjavur,6.4,110,66,1
2024-08-02,Thanjavur,5.0,101,95,1
2024-08-05,Thanjavur,4.0,32,100,0
2024-08-08,Thanjavur,6.5,127,63,1
2024-08-11,Thanjavur,3.9,128,63,0
2024-08-14,Thanjavur,5.2,41,67,1
2024-08-17,Thanjavur,6.4,11,46,0
2024-08-20,Thanjavur,6.7,72,49,0
2024-08-23,Thanjavur,6.3,296,53,0
2024-08-26,Thanjavur,3.8,93,97,0
2024-08-29,Thanjavur,4.4,42,2,0
2024-09-01,Thanjavur,4.9,12,33,0
2024-09-04,Thanjavur,3.1,35,50,0
2024-09-07,Thanjavur,4.5,261,98,0
2024-09-10,Thanjavur,4.1,210,10,0
2024-09-13,Thanjavur,5.2,280,78,1
2024-09-16,Thanjavur,2.8,47,39,0
2024-09-19,Thanjavur,2.4,109,19,0
2024-09-22,Thanjavur,4.7,205,75,0
2024-09-25,Thanjavur,5.2,38,39,0
2024-09-28,Thanjavur,5.5,127,7,0
2024-10-01,Thanjavur,3.2,227,14,0
2024-10-04,Thanjavur,4.3,33,39,0
2024-10-07,Thanjavur,5.3,94,15,0
2024-10-10,Thanjavur,2.1,75,89,0
2024-10-13,Thanjavur,2.1,259,44,0
2024-10-16,Thanjavur,4.6,137,21,0
2024-10-19,Thanjavur,3.9,142,93,0
2024-10-22,Thanjavur,6.4,20,42,0
2024-10-25,Thanjavur,6.0,144,67,1
2024-10-28,Thanjavur,2.3,300,80,0
2024-10-31,Thanjavur,2.4,238,65,0
2024-11-03,Thanjavur,3.8,260,72,0
2024-11-06,Thanjavur,2.8,85,32,0
2024-11-09,Thanjavur,5.9,298,86,1
2024-11-12,Thanjavur,5.6,121,94,1
2024-11-15,Thanjavur,4.5,27,1,0
2024-11-18,Thanjavur,3.2,246,46,0
2024-11-21,Thanjavur,3.9,81,22,0
2024-11-24,Thanjavur,6.7,23,70,1
2024-11-27,Thanjavur,6.0,219,28,0
2024-11-30,Thanjavur,3.6,218,92,0
2024-12-03,Thanjavur,3.6,44,73,0
2024-12-06,Thanjavur,3.9,262,86,0
2024-12-09,Thanjavur,6.5,96,28,0
2024-12-12,Thanjavur,6.0,28,51,0
2024-12-15,Thanjavur,2.3,243,36,0
2024-12-18,Thanjavur,5.9,164,41,0
2024-12-21,Thanjavur,2.4,238,1,0
2024-12-24,Thanjavur,3.8,154,72,0
2024-12-27,Thanjavur,5.9,129,59,0
2024-12-30,Thanjavur,3.8,257,98,0
2024-01-01,Dindigul,5.9,284,97,1
2024-01-04,Dindigul,6.0,82,0,0
2024-01-07,Dindigul,6.7,17,29,0
2024-01-10,Dindigul,4.7,9,42,0
2024-01-13,Dindigul,2.0,197,94,0
2024-01-16,Dindigul,5.6,58,26,0
2024-01-19,Dindigul,4.6,126,53,0
2024-01-22,Dindigul,4.5,35,18,0
2024-01-25,Dindigul,5.6,52,5,0
2024-01-28,Dindigul,6.6,271,52,0
2024-01-31,Dindigul,5.5,195,58,0
2024-02-03,Dindigul,6.9,48,74,1
2024-02-06,Dindigul,2.5,73,81,0
2024-02-09,Dindigul,6.1,43,75,1
2024-02-12,Dindigul,4.8,227,84,0
2024-02-15,Dindigul,6.8,126,37,0
2024-02-18,Dindigul,3.3,166,50,0
2024-02-21,Dindigul,5.5,172,40,0
2024-02-24,Dindigul,4.3,124,9,0
2024-02-27,Dindigul,6.7,74,99,1
2024-03-02,Dindigul,5.9,60,19,0
2024-03-05,Dindigul,2.5,235,59,0
2024-03-08,Dindigul,3.6,66,68,0
2024-03-11,Dindigul,3.8,111,57,0
2024-03-14,Dindigul,3.5,140,15,0
2024-03-17,Dindigul,2.5,160,90,0
2024-03-20,Dindigul,5.5,25,27,0
2024-03-23,Dindigul,6.2,172,18,0
2024-03-26,Dindigul,2.5,132,45,0
2024-03-29,Dindigul,4.0,30,86,0
2024-04-01,Dindigul,3.5,94,3,0
2024-04-04,Dindigul,6.8,236,71,1
2024-04-07,Dindigul,5.7,132,12,0
2024-04-10,Dindigul,4.3,76,15,0
2024-04-13,Dindigul,2.1,118,16,0
2024-04-16,Dindigul,3.0,210,47,0
2024-04-19,Dindigul,5.4,48,74,1
2024-04-22,Dindigul,4.9,43,2,0
2024-04-25,Dindigul,7.0,106,82,1
2024-04-28,Dindigul,4.2,70,11,0
2024-05-01,Dindigul,6.5,174,15,0
2024-05-04,Dindigul,2.2,241,6,0
2024-05-07,Dindigul,2.8,298,55,0
2024-05-10,Dindigul,6.1,207,63,1
2024-05-13,Dindigul,2.1,223,22,0
2024-05-16,Dindigul,3.8,100,35,0
2024-05-19,Dindigul,3.4,81,4,0
2024-05-22,Dindigul,5.1,130,82,1
2024-05-25,Dindigul,3.5,215,70,0
2024-05-28,Dindigul,4.4,49,35,0
2024-05-31,Dindigul,3.9,219,25,0
2024-06-03,Dindigul,5.2,274,31,0
2024-06-06,Dindigul,5.2,283,2,0
2024-06-09,Dindigul,6.9,188,61,1
2024-06-12,Dindigul,4.7,253,44,0
2024-06-15,Dindigul,6.6,262,41,0
2024-06-18,Dindigul,3.9,97,3,0
2024-06-21,Dindigul,3.6,117,3,0
2024-06-24,Dindigul,6.5,148,7,0
2024-06-27,Dindigul,6.0,246,67,1
2024-06-30,Dindigul,3.8,124,20,0
2024-07-03,Dindigul,2.5,128,34,0
2024-07-06,Dindigul,4.7,33,97,0
2024-07-09,Dindigul,7.0,117,73,1
2024-07-12,Dindigul,6.2,203,45,0
2024-07-15,Dindigul,6.7,93,22,0
2024-07-18,Dindigul,3.2,167,94,0
2024-07-21,Dindigul,5.5,19,90,1
2024-07-24,Dindigul,5.5,295,72,1
2024-07-27,Dindigul,2.7,101,63,0
2024-07-30,Dindigul,4.7,94,62,0
2024-08-02,Dindigul,2.2,33,29,0
2024-08-05,Dindigul,5.0,15,67,1
2024-08-08,Dindigul,4.4,174,78,0
2024-08-11,Dindigul,3.0,71,43,0
2024-08-14,Dindigul,5.6,170,7,0
2024-08-17,Dindigul,2.1,77,99,0
2024-08-20,Dindigul,2.6,274,46,0
2024-08-23,Dindigul,6.8,196,90,1
2024-08-26,Dindigul,6.7,207,75,1
2024-08-29,Dindigul,2.5,159,41,0
2024-09-01,Dindigul,2.7,85,93,0
2024-09-04,Dindigul,6.7,254,83,1
2024-09-07,Dindigul,3.6,292,88,0
2024-09-10,Dindigul,6.4,187,28,0
2024-09-13,Dindigul,5.3,94,48,0
2024-09-16,Dindigul,3.5,155,16,0
2024-09-19,Dindigul,2.9,5,89,0
2024-09-22,Dindigul,6.7,205,98,1
2024-09-25,Dindigul,6.8,21,23,0
2024-09-28,Dindigul,5.0,118,81,1
2024-10-01,Dindigul,4.8,259,18,0
2024-10-04,Dindigul,3.7,44,30,0
2024-10-07,Dindigul,3.7,168,21,0
2024-10-10,Dindigul,5.2,50,90,1
2024-10-13,Dindigul,5.4,176,57,0
2024-10-16,Dindigul,2.1,112,31,0
2024-10-19,Dindigul,5.5,184,32,0
2024-10-22,Dindigul,5.9,5,6,0
2024-10-25,Dindigul,3.9,219,21,0
2024-10-28,Dindigul,6.4,257,48,0
2024-10-31,Dindigul,3.8,197,12,0
2024-11-03,Dindigul,6.1,300,83,1
2024-11-06,Dindigul,5.8,120,20,0
2024-11-09,Dindigul,4.3,22,37,0
2024-11-12,Dindigul,2.1,138,13,0
2024-11-15,Dindigul,2.4,92,48,0
2024-11-18,Dindigul,2.8,43,70,0
2024-11-21,Dindigul,6.7,52,43,0
2024-11-24,Dindigul,5.0,252,90,1
